71698,Not applicable,['Romance'],Not applicable,wrecked,"Where do you go when you can’t run away? Lara doesn’t trust herself and Morgan can’t remember when he trusted anyone. They were sailing smoothly toward each other on a sweet voyage of discovery. Then Morgan got knocked back by a wave of panic from his past that he never got to explain. A freak encounter with a thousand pound fish left Morgan delirious and Lara even more confused. The demons that swirl around his fevered head hint at a hell Lara is afraid to understand. Stuck on a boat with a wounded man she no longer thinks she knows, Lara’s convinced she’s added another sad page to her book of mistakes.",k.c. falls,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1489781104i%2F6895431._UX200_CR0%2C25%2C200%2C200_.jpg&w=256&q=75,325,4.08,167,11,,Missing,https://www.goodreads.com/book/show/20316841-wrecked,"['62 (37%)', '65 (38%)', '32 (19%)', '8 (4%)', '0 (0%)']",129,14,,
71699,Not applicable,"['Young Adult', 'Mermaids', 'Fantasy', 'Romance', 'Paranormal', 'Paranormal Romance', 'Supernatural']",Not applicable,wrecked,"A mysterious stranger holds the key to Miranda’s fate in this contemporary retelling of “The Little Mermaid.”Ever since the death of her parents, Miranda has lived on Whym Island, taking comfort in the local folklore, which claims a mysterious sea witch controls the fate of all on the island and in its surrounding waters. Sometimes it’s just easier to believe things are out of your control.But then a terrible boating accident takes the lives of several of her friends, and Miranda is rescued by a mysterious boy who haunts her dreams. Consumed by guilt from the accident, she finds refuge in late-night swims—and meets Christian, a boy who seems eerily familiar, but who is full of He won’t tell her where he is from, or why they can only meet at the beach. But Miranda falls for him anyway…and discovers that Christian’s secrets, though meant to protect her, may bring her nothing but harm.Seductive and compelling, Wrecked brings a contemporary, paranormal twist to a classic enchanting tale.",anna davies,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,325,2.92,1832,291,,Missing,https://www.goodreads.com/book/show/12505532-wrecked,"['280 (15%)', '289 (15%)', '542 (29%)', '446 (24%)', '275 (15%)']",5185,42,,
71700,Not applicable,"['Romance', 'New Adult', 'Fighters', 'College', 'Contemporary Romance', 'Sports', 'Mixed Martial Arts']",Not applicable,wrecked,"A New Adult Romance Novel by USA Today Bestselling Author Priscilla West  “There would be no happy ending for us. He was too damaged. I was too broken.”  Two years ago, Lorrie’s mother was murdered. But that wasn’t the end of it. Reeling from the tragedy, Lorrie’s father spiraled into alcohol, depression, and finally suicide.  The two most important people in Lorrie’s life are both gone but she’s still alive.  Trying to recover from the tragedy, Lorrie returns to campus, ready to pick up the pieces of her life. All Lorrie wants is to get back to “normal.”  Then she meets Hunter. The man, the legend, “The Hammer.”  Hunter is a cage fighter who takes on every fight like he’s got nothing to lose. His life is a tangled mess of girls, booze, and fist fights. And while it may seem like he’s got a devil-may-care attitude, he’s fighting a private cage-match with a monster he can’t defeat.  Lorrie knows that Hunter is exactly the type of guy she should stay away from, especially in her fragile state, but Hunter has other ideas.  As Hunter and Lorrie grow closer together, will they be able to overcome their pain and heal each other? Or will they both end up wrecked?  GENRE: Mature New Adult Romance (18+) LENGTH: Novel, 350 pgs RESCUED (WRECKED BOOK TWO: Coming Early 2014)",priscilla west,"Priscilla West is a USA Today Bestselling author of the Forever series.Her next book, Fearless, the sequel to Reckless, will be released on November 17th, 2014 She enjoys: cuddles, men in suits, eskimo kisses, life-sized teddy bears, and eggs over medium.You can find her at priscillawest.com_____________________________________The Forever series currently follows three different couples. You can choose which couple you start reading about, but for each couple there is an order to their story. Here is how it goes:Forbidden Surrender (Vincent & Kristen 1)Secret Surrender (Vincent & Kristen 2)Beautiful Surrender (Vincent & Kristen 3)Wrecked (Hunter & Lorrie 1)Rescued (Hunter & Lorrie 2)Reckless (Jax & Riley 1)Fearless (Jax & Riley 2)[Available 11/17/2014]",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1415048998i%2F6761816._UX200_CR0%2C60%2C200%2C200_.jpg&w=256&q=75,404,3.83,8988,1068,,Missing,https://www.goodreads.com/book/show/19451779-wrecked,"['2,849 (31%)', '3,012 (33%)', '2,192 (24%)', '662 (7%)', '273 (3%)']",4835,516,,
71701,Not applicable,"['Fiction', 'Thriller', 'War', 'Adventure', 'Classics', 'Historical Fiction', 'Action']",Not applicable,wreckers must breathe,"A story set in Cornwall where, below the cliffs, a fleet of German U-boats lie hidden. Their target is the merchantmen and their ships, the lifeline of wartime Britain. Journalist Walter Craig, who is holidaying in the area, becomes entangled in the events going on around him.",hammond innes,"Ralph Hammond Innes was an English novelist who wrote over 30 novels, as well as children's and travel books.He was awarded a C.B.E. (Commander, Order of the British Empire) in 1978. The World Mystery Convention honoured Innes with a Lifetime Achievement Award at the Bouchercon XXIV awards in Omaha, Nebraska, Oct, 1993.Innes was born in Horsham, Sussex, and educated at the Cranbrook School in Kent. He left in 1931 to work as a journalist, initially with the Financial Times (at the time called the Financial News). The Doppelganger, his first novel, was published in 1937. In WWII he served in the Royal Artillery, eventually rising to the rank of Major. During the war, a number of his books were published, including Wreckers Must Breathe (1940), The Trojan Horse (1941) and Attack Alarm (1941); the last of which was based on his experiences as an anti-aircraft gunner during the Battle of Britain at RAF Kenley. After being discharged in 1946, he worked full-time as a writer, achieving a number of early successes. His novels are notable for a fine attention to accurate detail in descriptions of places, such as in Air Bridge (1951), set partially at RAF Gatow, RAF Membury after its closure and RAF Wunstorf during the Berlin Airlift.Innes went on to produce books in a regular sequence, with six months of travel and research followed by six months of writing. Many of his works featured events at sea. His output decreased in the 1960s, but was still substantial. He became interested in ecological themes. He continued writing until just before his death. His last novel was Delta Connection (1996).Unusually for the thriller genre, Innes' protagonists were often not ""heroes"" in the typical sense, but ordinary men suddenly thrust into extreme situations by circumstance. Often, this involved being placed in a hostile environment (the Arctic, the open sea, deserts), or unwittingly becoming involved in a larger conflict or conspiracy. The protagonist generally is forced to rely on his own wits and making best use of limited resources, rather than the weapons and gadgetry commonly used by thriller writers.Four of his early novels were made into films: Snowbound (1948)from The Lonely Skier (1947), Hell Below Zero (1954) from The White South (1949), Campbell's Kingdom (1957), and The Wreck of the Mary Deare (1959). His 1973 novel Golden Soak was adapted into a six-part television series in 1979. ",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1336107042i%2F26511.jpg&w=256&q=75,266,3.63,480,27,,Missing,https://www.goodreads.com/book/show/1203455.Wreckers_Must_Breathe,"['102 (21%)', '176 (36%)', '138 (28%)', '50 (10%)', '14 (2%)']",107,83,,
71702,Not applicable,"['Romance', 'Sports', 'Sports Romance', 'Slow Burn', 'Contemporary', 'Contemporary Romance', 'Enemies To Lovers']",Not applicable,wrecking ball,"A newer version of this book can be found hereCam DeSantis’ life is a hot, steaming pile. How else would you describe losing your husband, your job, and your money all at once? Desperate times call for desperate measures, so when salvation comes in the form of one intolerable a-hole, who just happens to be the starting quarterback for the vaunted NY Titans, she has no choice but to accept his offer as a live-in nanny slash teacher for his eight year old nephew. Now all she has to do is find a safe place in her mind to hide whenever she feels the need to throat punch him into tomorrow…which is often.  Calvin Shaw has zero interest in women. Wait, wait––let me rephrase that. He loves women, he just doesn’t want anything to do with ‘um. Not since his wife, presently ex-wife, got knocked up by the guy she was cheating on him with. Problem is––there’s one living in his house. And he doesn’t know what’s worse, that he promised to be civil, or that he’s attracted to her.    ****explicit sexual content. ****18 and over. *****semi prolific use of profanity at appropriate moments. You've been warned.",p. dangelico,"""If it sounds like writing, I rewrite it.” ― Elmore LeonardVisit my website:http://www.pdangelico.comGet to know me at my Facebook Page:https://www.facebook.com/p.dangelico/Join my Facebook reading Group: https://www.facebook.com/groups/PDang...Visit my Instagram account:https://www.instagram.com/pdangelicoa...Get free goodies and sale alerts by joining my Mailing List: https://www.pdangelico.com/contactOr find me on Goodreads.USA Today Bestselling author P. Dangelico loves romance in all forms, furry creatures, the NY Jets (although she’s reconsidering after this season), and to while away the day at the barn (apparently she does her best thinking shoveling horse poop). What she’s not enamored with is referring to herself in the third person and social media. Although she was born in Milan Italy, she’s been Jersey Strong since she turned six.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1481724442i%2F13671097._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,311,4.04,17650,1700,,Missing,https://www.goodreads.com/book/show/33701864-wrecking-ball,"['6,662 (37%)', '6,556 (37%)', '3,289 (18%)', '795 (4%)', '348 (1%)']",15161,662,,
71703,Not applicable,"['Graphic Novels', 'Comics', 'Bande Dessinée', 'Fiction', 'Spanish Literature', 'Graphic Novels Comics', 'Spain']",Not applicable,wrinkles,"Retired bank manager Emilio, suffering from Alzheimer’s, is taken to anassisted living home by his son. He befriends his roommate Miguel, an overconfident ladies’ man. Together, they employ clever tricks tokeep the doctors from noticing Emilio’s ongoing deterioration — and keephim from being transferred to the dreaded confinement of the top floor ofthe facility. (""Better to die than to end up there."" Their determination to stayactive as individuals and maintain their dignity culminates in an adventurous escape.",paco roca,"Francisco Martínez Roca (aka Paco Roca) is a graphic artist and a cartoonist from Valencia, Spain, who has won several art/writing awards. His graphic novel Wrinkles has been adapted into an animated movie.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1301683792i%2F1205863._UX200_CR0%2C1%2C200%2C200_.jpg&w=256&q=75,96,4.37,9882,1263,,Missing,https://www.goodreads.com/book/show/26101514-wrinkles,"['5,014 (50%)', '3,724 (37%)', '973 (9%)', '145 (1%)', '26 (<1%)']",4584,29,,
71704,Not applicable,"['Fiction', 'Thriller']",Not applicable,writ of mandamus,"WINNER London Book Festival--Best Fiction and Grand Prize WinnerWinner Best Fiction London Book FestivalWinner Best Mystery/Thriller Indie Book AwardsFinalist Best General Fiction (over 80,000) Indie Book AwardsUSA News Best Book Award Finalist Best Multicultural FictionWith over three decades in law and politics, Rick Robinson's award winning political thrillers are as current as today's headlines. Rick's latest in the captivating and fast-paced Richard Thompson series, Writ of Mandamus, is already being hailed as his best yet. Writ of Mandamus will keep you up at night as you weave your way from Washington, DC to the countryside of Ireland following Thompson and the CIA as they chase Middle Eastern conflict and Kentucky horses.Best selling author P.J. O'Rourke says that Rick Robinson ""may be the only person on Earth who both understands the civics book chapter on 'How a Bill Becomes a Law' and knows how to get good seats at the Kentucky Derby."" In Writ of Mandamus, Robinson displays his knowledge of both.",rick robinson,"Rick Robinson has spent thirty years in politics and law, including a stint on Capitol Hill as Legislative Director/Chief Counsel to then-Congressman Jim Bunning (R-KY). He has been active in all levels of politics, from advising candidates on the national level to walking door-to-door in city council races. He ran for the United States Congress in 1998.A graduate of Eastern Kentucky University and Salmon P. Chase College of Law, Rick currently practices law in Ft. Mitchell, Kentucky with the law firm of Graydon Head & Ritchey LLP. Rick, and his wife Linda, live in Ft. Mitchell with their three children, Josh, Zach and MacKenzie.""",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1204924787i%2F1280476.jpg&w=256&q=75,304,3.81,129,10,,Missing,https://www.goodreads.com/book/show/13380180-writ-of-mandamus,"['35 (27%)', '50 (38%)', '30 (23%)', '12 (9%)', '2 (1%)']",164,16,,
71705,Not applicable,"['Self Help', 'Nonfiction', 'Writing', 'Personal Development', 'Psychology', 'Productivity', 'Business']",Not applicable,"write it down, make it happen","Too often, people drift through life with a feeling of frustration, longing to find some adventure or purpose in life, envious of those whose lives seem exciting. In WRITE IT DOWN, MAKE IT HAPPEN, Henriette Anne Klauser shows you how to write your own lifescript. Simply writing down your goals in life is the first step towards achieving them.The 'writing it down' part is not about time management; it is not a 'to-do today' list that will make you feel guilty if you don't get everything done. Rather, writing it down is about clearing your head, identifying what you want and setting your intent. You can 'make it happen' purely by believing in the possibility. In WRITE IT DOWN, MAKE IT HAPPEN, there are stories from ordinary people who witnessed miracles large and small unfold in their lives after they performed the basic act of putting their goals on paper.",henriette anne klauser,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1433759107i%2F218167._UX200_CR0%2C35%2C200%2C200_.jpg&w=256&q=75,258,4.02,3653,316,,Missing,https://www.goodreads.com/book/show/19288457-write-it-down-make-it-happen,"['1,458 (39%)', '1,191 (32%)', '723 (19%)', '187 (5%)', '94 (2%)']",5101,486,,
71706,Not applicable,"['Mystery', 'Middle Grade', 'Fantasy', 'Fiction', 'Writing', 'Young Adult', 'Childrens']",Not applicable,write this book,"I feared this may happen. I knew reading was a dangerous business, but now it's not safe for writers either! You see, the author of this book is missing. Well, maybe not ""missing."" A certain author whom I won't name (okay, me) has abandoned his book and has left his readers hanging out to dry. This is a crime, I admit, but there it is. Most of this book, well, I just haven't written it. And I'm not going to, either.

Why? Oh, I have my reasons. Big. Grown up. Author. Reasons. Unfortunately, I can't reveal them yet. Let's just say a life is at stake (mine) and leave it at that. So will you do it? Pretty please? You'll do it? Thank you! But please hurry! Time is of the essence and you can't wait any longer. You must WRITE THIS BOOK!

This imaginative companion to the New York Times bestselling Secret Series teases, prompts, and leads readers through the steps of writing a story. Bosch's signature rip-roaring voice delivers an engaging narrative (for the reader to help complete!) and interactive puzzles and games. Readers get the chance to create their own story while enjoying a satisfying mystery as well.

",pseudonymous bosch,"Pseudonymous Bosch is the infamously anonymous author of the New York Times bestselling Secret Series and the Bad Books. Despite rumors to the contrary, his books are not actually written by his pet rabbit, Quiche; the rabbit is merely his typist.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1544649727i%2F543080._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,288,4.06,860,60,,Missing,https://www.goodreads.com/book/show/15790868-write-this-book,"['391 (45%)', '239 (27%)', '145 (16%)', '58 (6%)', '27 (3%)']",1973,92,,
71707,Not applicable,"['Writing', 'Nonfiction', 'Crafts', 'Reference', 'How To', 'Self Help', 'Audiobook']",Not applicable,write your novel from the middle,"A powerful secret, and a fresh approach to writing bestselling fiction!  What's the best way to write a ""next level"" novel? Some writers start at the beginning and let the story unfold without a plan. They are called ""pantsers,"" because they write by the ""seat of the pants.""  Other writers plan and outline and know the ending before they start. These are the ""plotters.""  The two sides never seem to agree with each other on the best approach.  But what if it's not the beginning or the end that is the key to a successful book? What if, amazing as it may seem, the place to begin writing your novel is in the very middle of the story?  According to #1 bestselling writing teacher James Scott Bell, that's exactly where you'll find your story's heart and heat. Bell's ""Mirror Moment"" is the secret, and its power is available to any writer, at any stage of the writing process.  Bringing together years of craft study and personal discovery, Bell presents a truly unique approach to writing a novel, one that will stand the test of time and serve you all your writing life.  ""I need three things before I tackle a new Diet Coke, a laptop, and my dog-eared copies of James Scott Bell's books on writing craft!” - Kami Garcia, #1 NYT Times & International Bestselling author",james scott bell,"Jim is a former trial lawyer who now writes and speaks full time. He is the bestselling author of Try Dying, No Legal Grounds, Presumed Guilty, Glimpses of Paradise, Breach of Promise and several other thrillers. He is a winner of the Christy Award for Excellence in Inspirational Fiction, and was a fiction columnist for Writers Digest magazine. He has written two books in the Writers' Digest series, Write Great Fiction: Plot & Structure and Revision & Self-Editing.Jim has taught writing at Pepperdine University and numerous writers conferences. He attended the University of California, Santa Barbara where he studied writing with Raymond Carver. Series:* Shannon Saga (with Tracie Peterson)* The Trials of Kit Shannon* Ty Buchanan",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1335615930i%2F11957._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,93,4.2,2850,433,,Missing,https://www.goodreads.com/book/show/20928522-write-your-novel-from-the-middle,"['1,240 (43%)', '1,056 (37%)', '454 (15%)', '82 (2%)', '18 (<1%)']",2929,584,,
71708,Not applicable,"['Writing', 'Nonfiction', 'Reference', 'Business']",Not applicable,writer's digest handbook of magazine article writing,"THE Guide to Writing and Selling Magazine Articles! This comprehensive, practical, how-to guide answers all of your questions about writing for magazines. In this all-new second edition of a best-selling classic, today's most successful freelance writers, including Robert Bly, Linda Formichelli, Kelly James-Enger, Jenna Glatzer , and others, provide up-to-date information on e-querying, writing for digital media, knowing your e-rights, and the core topics of magazine article writing. You'll learn how to:",michelle ruberg,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,Paperback,3.58,184,15,,Missing,https://www.goodreads.com/book/show/960895.Writer_s_Digest_Handbook_of_Magazine_Article_Writing,"['36 (19%)', '60 (32%)', '68 (36%)', '14 (7%)', '6 (3%)']",196,15,,
71709,Not applicable,"['Romance', 'New Adult', 'Contemporary Romance', 'Contemporary', 'Fiction']",Not applicable,writing a wrong,"What comes next, once your happily ever after has been written? Real life. Nicole and Alec are doing their best to live the HEA she's been dreaming for and writing about in her books. The problem is she's been coping with her newly achieved success as an author and the responsibilities that are transitioning her away from the introverted life she prefers. He's neck deep in medical school and stuck at the hospital almost every waking hour. Something's got to give.Sometimes, what looks like happily ever after from the start can become something entirely different on the other side.Finding time together can be a challenge, but Nicole and Alec seem to have things figured out. That is, until Nicole's publisher sends her on an extended book tour for her upcoming release, putting an unexpected strain on their relationship. When Alec begins hanging out with his ex, who also happens to be the mother of his little girl, Nicole can't help feeling that maybe her ever after is about to turn into a never mind. Things turn from bad to worse when Nicole is faced with what she perceives as betrayal, leaving the door open to Greg, her new public relations rep who is more than willing to offer up a shoulder to dump her woes on. Betrayal can be a two-way street and Nicole must now decide which way the story goes from here.Writing a happily ever after was so much easier than actually living one… ",tiffany king,"USA Today Bestselling author Tiffany King is a lifelong reading fanatic who is now living her dream as a writer, weaving Young Adult and New Adult romance tales for others to enjoy. She has a loving husband and two wonderful kids. (Five, if you count her three spoiled cats). Her addictions include: Her iphone and ipad, chocolate, Diet Coke, chocolate, Harry Potter, chocolate, zombies and her favorite TV shows. Want to know what they are? Just ask. You can connect with Tiffany on her webpage at authortiffanyjking.blogspot.com Twitter-@AuthorTiffany Facebook-Author Tiffany King",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1381155352i%2F4719619._UX200_CR0%2C50%2C200%2C200_.jpg&w=256&q=75,196,3.94,317,30,,Missing,https://www.goodreads.com/book/show/23367973-writing-a-wrong,"['89 (28%)', '137 (43%)', '77 (24%)', '11 (3%)', '3 (<1%)']",322,11,,
71710,Not applicable,['Teaching'],Not applicable,writing about literature,"This book is intended to help middle and secondary school English language arts teachers integrate literature study and composition instruction.Literary analysis and well-honed analytical writing skills are crucial for student success―in English class as well as on writing assessments and in other content area classes. Unfortunately, these skills are often taught separately from one another and students have a hard time making the connections between the two. Drawing on years of real classroom experience, this follow-up to NCTE’s immensely popular Writing about Literature (1984) addresses the challenge many teachers How can we use writing assignments to deepen students’ understanding of literature, while at the same time improve their writing, critical thinking, and analytical skills? A Theory and Research into Practice (TRIP) book, Writing about Literature, 2nd ed., Revised and Updated seeks to answer this question by first providing an overview of the key components of theory and research―including assessment, literary interpretation, composition, sequencing, and activity design―and then offering an extensive selection of practical activities to help students learn how to interpret literature, write compelling arguments, and support those arguments using evidence from the text. Specific activities include Exploring role models from To Kill a Mockingbird and The House on Mango Street, analyzing characters from “Everyday Use” and Huckleberry Finn, and interpreting love themes from Romeo and Juliet and Shakespeare’s sonnets. Featuring two dozen reproducible handouts and suggestions for adaptations, all of the activity sequences are designed to be used as a teaching tool―a model for teachers and students to use as they study other texts and types of literature.",larry r. johannessen,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,104,3.47,17,2,,Missing,https://www.goodreads.com/book/show/6652098-writing-about-literature,"['3 (17%)', '6 (35%)', '5 (29%)', '2 (11%)', '1 (5%)']",2,-1,,
71711,Not applicable,"['Writing', 'Nonfiction', 'Self Help', 'Psychology', 'Journaling', 'Memoir', 'Mental Health']",Not applicable,writing as a way of healing,"In this inspiring book, based on her twenty years of research, highly acclaimed author and teacher Louise DeSalvo reveals the healing power of writing. DeSalvo shows how anyone can use writing as a way to heal the emotional and physical wounds that are an inevitable part of life. Contrary to what most self-help books claim, just writing won't help you; in fact, there's abundant evidence that the wrong kind of writing can be damaging.DeSalvo's program is based on the best available and most recent scientific studies about the efficacy of using writing as a restorative tool. With insight and wit, she illuminates how writers, from Virginia Woolf to Henry Miller to Audre Lorde to Isabel Allende, have been transformed by the writing process. Writing as a Way of Healing includes valuable advice and practical techniques to guide and inspire both experienced and beginning writers.",louise desalvo,"Louise A. DeSalvo (born 1942) is an American writer, editor, professor, and lecturer who currently lives in New Jersey. Much of her work focuses on Italian-American culture, though she is also a renowned Virginia Woolf scholar.DeSalvo and her husband raised their children in Teaneck, New Jersey before moving to Montclair to be closer to their grandchildren.She also teaches memoir writing as a part of CUNY Hunter College's MFA Program in Creative Writing.DeSalvo's publications include the memoir, Vertigo, which received the Gay Talese award and was also a finalist for Italy's Primo Acerbi prize for literature; Crazy in the Kitchen: Food, Feuds, and Forgiveness in an Italian American Family, which was named a Booksense Book of the Year for 2004.DeSalvo is also a renowned Virginia Woolf scholar. She has edited editions of Woolf's first novel Melymbrosia, as well as The Letters of Vita Sackville-West and Virginia Woolf, which documents the controversial lesbian affair between these two novelists. In addition, she has written two books on Woolf, Virginia Woolf: The Impact of Childhood Sexual Abuse on Her Life and Work and Virginia Woolf's First Voyage: A Novel in the Making.One of DeSalvo's most popular books is the writer's guide Writing as a Way of Healing: How Telling Our Stories Transforms Our Lives.(from Wikipedia)",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1449205275i%2F78203._UX200_CR0%2C29%2C200%2C200_.jpg&w=256&q=75,240,4.16,970,90,,Missing,https://www.goodreads.com/book/show/798896.Writing_as_a_Way_of_Healing,"['432 (44%)', '325 (33%)', '161 (16%)', '38 (3%)', '14 (1%)']",2810,110,,
71712,Not applicable,"['Writing', 'Nonfiction', 'Reference', 'Self Help', 'Memoir', 'Poetry', 'Crafts']",Not applicable,writing down the bones,"Natalie Goldberg's word-of-mouth hit has sold well over half a million copies. Goldberg, who has conducted writing workshops for both beginners and professionals all over the United States, sees writing as a practice that helps us comprehend the value of our lives. With insight, humor, and practicality, she inspires writers and would-be writers alike to take the leap into writing creatively and well.",natalie goldberg,"Natalie Goldberg lived in Brooklyn until she was six, when her family moved out to Farmingdale, Long Island, where her father owned the bar the Aero Tavern. From a young age, Goldberg was mad for books and reading, and especially loved Carson McCullers's  The Ballad of the Sad Cafe  , which she read in ninth grade. She thinks that single book led her eventually to put pen to paper when she was twenty-four years old. She received a BA in English literature from George Washington University and an MA in humanities from St. John's University.Goldberg has painted for as long as she has written, and her paintings can be seen in Living Color: A Writer Paints Her World and Top of My Lungs: Poems and Paintings. They can also be viewed at the Ernesto Mayans Gallery on Canyon Road in Sante Fe.A dedicated teacher, Goldberg has taught writing and literature for the last thirty-five years. She also leads national workshops and retreats, and her schedule can be accessed via her website: nataliegoldberg.comIn 2006, she completed with the filmmaker Mary Feidt a one-hour documentary, Tangled Up in Bob, about Bob Dylan's childhood on the Iron Range in Northern Minnesota. The film can be obtained on Amazon or the website tangledupinbob.com.Goldberg has been a serious Zen practitioner since 1974 and studied with Katagiri Roshi from 1978 to 1984.",/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1192652876i%2F25189.jpg&w=256&q=75,368,4.21,31152,2537,,Missing,https://www.goodreads.com/book/show/1113002.Writing_Down_the_Bones,"['14,507 (46%)', '10,321 (33%)', '4,955 (15%)', '1,044 (3%)', '325 (1%)']",32107,2630,,
71713,Not applicable,"['Writing', 'Nonfiction', 'Spirituality', 'Self Help', 'Psychology', 'Journaling', 'Reference']",Not applicable,writing down your soul,"You could pray, or meditate, or dream, or visit a shaman, or a minister, or a hypnotherapist. With so many routes into inner consciousness, why write? Of all the ways to get in touch with God, as you understand God... to hear the small, still voice pointing you in the right direction... why take the time to write? One reason: it works. It works amazingly well. If you want to engage in a vibrant conversation with the wisdom that dwells just a hair below your conscious awareness, write. Write every day, at approximately the same time, with passion, honesty, and the intention of speaking with and listening to the voice within. Janet Conner was escaping a terrible situation of domestic abuse. While trying to figure out how she and her son could live and how they could eat, she realized she had hit rock bottom. With no other advisors, she listened to her own inner voice, which told her to start writing. As she did, Janet's inner voice gained clarity and strength, and she felt an incredible connection to the divine, and almost immediately miracles began to happen. Today, research scientists in psychology, physics, biochemistry, and neurology are providing peeks into what consciousness is and how it works. Their findings give us intriguing clues as to what is actually happening in and through our bodies, minds, and spirits as we roll pen across paper. Writing Down Your Soul explores some of this research and instructs readers how to access the power and beauty of their own deepest selves.",janet conner,"In Writing Down Your Soul: How to Activate and Listen to the Extraordinary Voice Within, Janet Conner tells a profound story of what actually happens in our hearts, minds, and souls when we write with the intention of accessing divine wisdom. Not content to have simply experienced the life-changing power of writing, Janet set out to uncover the science that explains why writing by hand is the single most effective vehicle into unconscious mind and beyond. Weaving together the most potent elements, Janet presents a simple, modern process that anyone can use to access the wisdom that waits just below the conscious surface. With this practical tool at your disposal, you'll know exactly how to ask for and receive the guidance you need to create the life you want. """,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fauthors%2F1517062727i%2F612251._UX200_CR0%2C39%2C200%2C200_.jpg&w=256&q=75,256,4.03,1393,127,,Missing,https://www.goodreads.com/book/show/4770023-writing-down-your-soul,"['536 (38%)', '497 (35%)', '253 (18%)', '73 (5%)', '34 (2%)']",2473,640,,
71714,Not applicable,"['Writing', 'Nonfiction', 'Reference', 'Crafts', 'Self Help', 'Read For School', 'How To']",Not applicable,writing fiction,"Gotham Writers' Workshop has mastered the art of teaching the craft of writing in a way that is practical, accessible, and entertaining. Now the techniques of this renowned school are available in this book.Here you'll The fundamental elements of fiction craft―character, plot, point of view, etc.―explained clearly and completely - Key concepts illustrated with passages from great works of fiction - The complete text of ""Cathedral"" by Raymond Carver―a masterpiece of contemporary short fiction that is analyzed throughout the book - Exercises that let you immediately apply what you learn to your own writing.Written by Gotham Writers' Workshop expert instructors and edited by Dean of Faculty Alexander Steele, Writing Fiction offers the same methods and exercises that have earned the school international acclaim.Once you've read―and written―your way through this book, you'll have a command of craft that will enable you to turn your ideas into effective short stories and novels. You will be a writer.Gotham Writers' Workshop is America's leading private creative writing school, offering classes in New York City and on the web at WritingClasses.com. The school's interactive online classes, selected ""Best of the Web"" by Forbes, have attracted thousands of aspiring writers from across the United States and more than sixty countries.",alexander steele,,/_next/image?url=https%3A%2F%2Fi.gr-assets.com%2Fimages%2FS%2Fcompressed.photo.goodreads.com%2Fnophoto%2Fuser%2Fu_700x933.png&w=256&q=75,304,4.21,2187,246,,Missing,https://www.goodreads.com/book/show/84691.Writing_Fiction,"['957 (43%)', '816 (37%)', '338 (15%)', '59 (2%)', '17 (<1%)']",3271,688,,
