book
"the great transition, nick fuller googins"
"the stand, stephen king"
"city of bones / city of ashes / city of glass / city of fallen angels / city of lost souls, cassandra clare"
"the man with the golden torc, simon r. green"
"calculating god, robert j. sawyer"
"castle hangnail, ursula vernon"
"tempting evil, keri arthur"
"nemesis, isaac asimov"
"the life and adventures of santa claus, l. frank baum"
"ninth key, jenny carroll"
"stud finder, lauren blakely"
"the gender secret, bella forrest"
"a coal miner's bride, susan campbell bartoletti"
"above all, honor, radclyffe"
"la fille de brooklyn, guillaume musso"
"the hideaway, lauren k. denton"
"it had to be him, tamra baumann"
"girls can kiss now, jill gutowitz"
"flipped, wendelin van draanen"
"assumption, aurora rose reynolds"
"murder in the secret garden, ellery adams"
"these ruthless deeds, tarun shanker"
"welcome to rosie hopkins' sweet shop of dreams, jenny colgan"
"the fall of five, pittacus lore"
"fox in socks, dr. seuss"
"killing sarai, j.a. redmerski"
"bone, tom sniegoski"
"the singing, alison croggon"
"holidays with the walker brothers, nicole edwards"
"forget me not, willow winters"
"suffer the children, craig dilouie"
"ordination, daniel m ford"
"feersum endjinn, iain m. banks"
"invisible cities, italo calvino"
"jane austen, jane austen"
"lies we tell ourselves, robin talley"
"awakened, brenda k. davies"
"tart, lauren dane"
"those pricey thakur girls, anuja chauhan"
"the rest of us just live here, patrick ness"
"deadly cool, gemma halliday"
"paradise, craig alanson"
"proven guilty, jim butcher"
"uprooted, naomi novik"
"hereticus, dan abnett"
"dead of winter, kresley cole"
"harry potter i kamień filozoficzny, j.k. rowling"
"the devil wears prada, lauren weisberger"
"love bites, lynsay sands"
"a mackenzie family christmas, jennifer ashley"
"faded steel heat, glen cook"
"belladonna, adalyn grace"
"crazy kisses, tara janzen"
"against the wild, kat martin"
"a dog's purpose, w. bruce cameron"
"mortal arts, anna lee huber"
"the revelation, beverly lewis"
"darkhouse, karina halle"
"the house of velvet and glass, katherine howe"
"joy in the morning, betty smith"
"city of ashes, cassandra clare"
"fantastic mr. fox, roald dahl"
"the quiet professor, betty neels"
"the girl from the sea, molly knox ostertag"
"moon rising, tui t. sutherland"
"cloaked in shadow, ben alderson"
"the little lady agency, hester browne"
"coming home, sam mariano"
"the perfume collector, kathleen tessaro"
"call me daddy, jade west"
"the second siege, henry h. neff"
"matter, iain m. banks"
"before they are hanged, joe abercrombie"
"shadowgate, emily rodda"
"b.p.r.d., mike mignola"
"bound by vengeance, cora reilly"
"the coma, alex garland"
"the three questions, jon j. muth"
"someone i loved, anna gavalda"
"merrick, anne rice"
"before the devil breaks you, libba bray"
"the heroes of olympus, rick riordan"
"el nombre del mundo es bosque, ursula k. le guin"
"defy, l.j. shen"
"rumble, ellen hopkins"
"the city's son, tom pollock"
"insidious, catherine coulter"
"remember when, t. torrest"
"when christmas comes, debbie macomber"
"otoño en londres, andrea izquierdo"
"jonas, k.f. breene"
"scruples two, judith krantz"
"mind game, christine feehan"
"the dark is rising, susan cooper"
"because of lila, abbi glines"
"the cottage at glass beach, heather barbieri"
"the story of us, lesley jones*"
"a strange hymn, laura thalassa"
"warriors box set, erin hunter"
"pilots choice, sharon lee"
"witch is when life got complicated, adele abbott"
"podkayne of mars, robert a. heinlein"
"mary poppins opens the door, p.l. travers"
"pădurea norvegiană, haruki murakami"
"frog and toad are friends, arnold lobel"
"rise of fire, sophie jordan"
"halt's peril, john flanagan"
"tequila for two, tricia o'malley"
"the little french guesthouse, helen pollard"
"big girls don't cry, taylor lee"
"chosen, ted dekker"
"owned, lauren landish"
"shining, stephen king"
"feedback, robison wells"
"dangerous angels, francesca lia block"
"the sparrow, jason mott"
"spill zone, scott westerfeld"
"sword & citadel, gene wolfe"
"bloodring, faith hunter"
"the adventure zone vol. 3, clint mcelroy"
"rack & ruin, charlie cochet"
"being nikki, meg cabot"
"the ghost, danielle steel"
"the doomsday key, james rollins"
"undead and unwed, maryjanice davidson"
"ice cold, marilyn kaye"
"going nowhere fast, kati wilde"
"secret lives, diane chamberlain"
"ugly love, colleen hoover"
"landline, rainbow rowell"
"heaven, v.c. andrews"
"banking her, max monroe"
"leave myself behind, bart yates"
"wicked lovely, melissa marr"
"fearless, diana palmer"
"the screwtape letters, c.s. lewis"
"pandaemonium, christopher brookmyre"
"glimmer of hope, ryan king"
"forever pucked, helena hunting"
"cast in shadow, michelle sagara"
"tengo miedo torero, pedro lemebel"
"silent on the moor, deanna raybourn"
"pucking around, emily rath"
"exile for dreamers, kathleen baldwin"
"the chronicles of narnia, ernie malik"
"under her skin, jeaniene frost"
"just for you, sir, laylah roberts"
"stung with love, sappho"
"incriminating evidence, rachel grant"
"the mirage, matt ruff"
"the rough-face girl, rafe martin"
"fragile eternity, melissa marr"
"bramblestar's storm, erin hunter"
"collide, shelly crane"
"my soul to keep, rachel vincent"
"catch a tiger by the tail, charlie cochet"
"ravenfall, kalyn josephson"
"he's so not worth it, kieran scott"
"sand castle bay, sherryl woods"
"double down, susan hayes"
"star wars, chuck wendig"
"frostblood, elly blake"
"time and time again, ben elton"
"broken homes, ben aaronovitch"
"never the bride, paul magrs"
"the bachelor, carly phillips"
"invincible, vol. 20, robert kirkman"
"wicked and the wallflower, sarah maclean"
"love is the drug, alaya dawn johnson"
"no. 6, atsuko asano"
"hana-kimi, hisaya nakajo"
"just ella, annette k. larsen"
"home is not a country, safia elhillo"
"finding harmony, pamela fagan hutchins"
"the complete phantom of the opera, george c. perry"
"pistols for two, georgette heyer"
"reaper's legacy, joanna wylde"
"tempting miss allender, wendy vella"
"the final gambit, jennifer lynn barnes"
"star maker, olaf stapledon"
"the lost lullaby, jason segel"
"the garden of eden, ernest hemingway"
"superman, matt de la pena"
"plague of the dead, z.a. recht"
"the enchanted forest chronicles, patricia c. wrede"
"arabesque, aprilynne pike"
"zakon mimów, samantha shannon"
"die arena, stephen king"
"alice in the country of hearts, vol. 3, quinrose"
"the diviners, libba bray"
"no ordinary billionaire, j.s. scott"
"chasm city, alastair reynolds"
"nauti nights, lora leigh"
"beautiful world, where are you, sally rooney"
"eleanor and park, rainbow rowell"
"princess in love, meg cabot"
"the fury / dark reunion, l.j. smith"
"the girl she used to be, david cristofano"
"wyrms, orson scott card"
"the perfect summer, luanne rice"
"beauty's release, a.n. roquelaure"
"i heart new york, lindsey kelk"
"the midnight heir, cassandra clare"
"one piece 巻百九 〝きみの味方〟, eiichiro oda"
"black panther (2016-2018) #1, ta-nehisi coates"
"ruthless, sara shepard"
"this was a man, jeffrey archer"
"reliquary, douglas preston"
"aimée & jaguar, erica fischer"
"john dies at the end, david wong"
"our missing hearts, celeste ng"
"dorsai!, gordon r. dickson"
"her mother's shadow, diane chamberlain"
"good omens, terry pratchett"
"red rope of fate, k.m. shea"
"the impossible lives of greta wells, andrew sean greer"
"descent of angels, mitchel scanlon"
"the dragon's path, daniel abraham"
"ttyl, lauren myracle"
"seduction of a proper gentleman, victoria alexander"
"the sandman, vol. 10, neil gaiman"
"very bad things, ilsa madden-mills"
"the last enchantment, mary stewart"
"52, vol. 2, geoff johns"
"north and south, elizabeth gaskell"
"from gods, mary ting"
"this side of the grave, jeaniene frost"
"cyberstorm, matthew mather"
"annie on my mind, nancy garden"
"barrayar, lois mcmaster bujold"
"party of two, jasmine guillory"
"ajax penumbra, robin sloan"
"something like hail, jay bell"
"frenchman's creek, daphne du maurier"
"gone with the wind, part 2 of 2, john escott"
"toxic, nicole blanchard"
"tisha, robert specht"
"dirty blood, heather hildenbrand"
"little women, louisa may alcott"
"cowboy casanova, lorelei james"
"the promise of stardust, priscille sibley"
"hikaru no go, vol. 4, yumi hotta"
"flashback, dan simmons"
"take me, olivia cunning"
"black hills, dan simmons"
"the stars my destination, alfred bester"
"enchanted, elizabeth lowell"
"coraline, neil gaiman"
"the shadow thieves, anne ursu"
"halfway to the grave, jeaniene frost"
"exiled, evangeline anderson"
"a clockwork orange, anthony burgess"
"therapy, kathryn perez"
"berserk, vol. 37, kentaro miura"
"dwór cierni i róż, sarah j. maas"
"blind faith, ben elton"
"dragon's gift, jasmine walt"
"banana fish, vol. 1, akimi yoshida"
"alpha & omega, patricia briggs"
"the road to yesterday, l.m. montgomery"
"the president's vampire, christopher farnsworth"
"valis, philip k. dick"
"chronicles of the black company, glen cook"
"the short second life of bree tanner, stephenie meyer"
"what dreams may come, richard matheson"
"wild rain, christine feehan"
"a map for wrecked girls, jessica taylor"
"the gauntlet, karuna riazi"
"torment, chloe walsh"
"the day he went away, jennifer millikin"
"kingdom of the golden dragon, isabel allende"
"the whale rider, witi ihimaera"
"sheik, connie mason"
"ender's shadow, orson scott card"
"the year of the witching, alexis henderson"
"seed to harvest, octavia e. butler"
"the hookup, kristen ashley"
"seven stones to stand or fall, diana gabaldon"
"a herdeira, kiera cass"
"king of code, c.d. reiss"
"lord john and the brotherhood of the blade, diana gabaldon"
"any duchess will do, tessa dare"
"this green hell, greig beck"
"takane & hana, vol. 1, yuki shiwasu"
"gefährliche geliebte, haruki murakami"
"the days of anna madrigal, armistead maupin"
"kulti, mariana zapata"
"swat team one and the social worker, dixie lynn dwyer"
"atlas shrugged, ayn rand"
"last dragon standing, g.a. aiken"
"berserk, vol. 32, kentaro miura"
"bulldozer, p. dangelico"
"family ties, sam mariano"
"kissed, elizabeth finn"
"sweet prairie passion, rosanne bittner*"
"the chaos of stars, kiersten white"
"finding southern comfort, barbara lohr"
"the spaniard's marriage bargain, abby green"
"the frog princess, e.d. baker"
"the sapphire princess meets a monster, jahnna n. malcolm"
"the atlantis code, charles brokaw"
"potions and pastries, bailey cates"
"seeds of iniquity, j.a. redmerski"
"the fall of the governor, robert kirkman"
"green-eyed demon, jaye wells"
"empire of dragons, valerio massimo manfredi"
"it happens every spring, catherine palmer"
"the girls i've been, tess sharpe"
"begin again, mona kasten"
"mossflower, brian jacques"
"life after life, kate atkinson"
"mechanicum, graham mcneill"
"have you seen her?, karen rose"
"the rom-commers, katherine center"
"dragondrums, anne mccaffrey"
"the colossus rises, peter lerangis"
"night embrace, sherrilyn kenyon"
"friday's child, georgette heyer"
"the zombie survival guide, max brooks"
"the sentence, louise erdrich"
"apocalypse scenario #683, mira grant"
"we both go down together, seanan mcguire"
"when life happened, jewel e. ann"
"remember me?, sophie kinsella"
"murder, curlers, and cream, arlene mcfarlane"
"sylvia's lovers, elizabeth gaskell"
"saving marilee, annette k. larsen"
"paper, scissors, death, joanna campbell slan"
"eve, anna carey"
"the hogwarts library, j.k. rowling"
"merupuri, vol. 3, matsuri hino"
"andersen's fairy tales, friederun reichenstetter"
"such a rush, jennifer echols"
"bohemian, kathryn nolan"
"shadow, laurann dohner"
"the wounded sky, diane duane"
"spring's gentle promise, janette oke"
"the new wilderness, diane cook"
"stormwalker, allyson james"
"slow burn, julie garwood"
"skip beat!, vol. 08, yoshiki nakamura"
"an irish country wedding, patrick taylor"
"hard knox, nicole williams"
"sleeping giants, sylvain neuvel"
"the one, lora leigh"
"mr. darcy's noble connections, abigail reynolds"
"vampire knight, vol. 3, matsuri hino"
"revenge wears prada, lauren weisberger"
"make me, tessa bailey"
"the graduate, charles webb"
"scuffy the tugboat, gertrude crampton"
"sky raiders, brandon mull"
"the sorcerer in the north, john flanagan"
"affliction, laurell k. hamilton"
"bergdorf blondes, plum sykes"
"red winter, annette marie"
"professional integrity, michael j. sullivan"
"dead ice, laurell k. hamilton"
"roman crazy, alice clayton"
"rinkitink in oz, l. frank baum"
"midnight exposure, melinda leigh"
"el libro de gloria fuertes, gloria fuertes"
"the keeper of the bees, gene stratton-porter"
"stolen songbird, danielle l. jensen"
"horde, ann aguirre"
"beautiful stranger, christina lauren"
"lord's fall, thea harrison"
"ashes of victory, david weber"
"adventures in funeral crashing, milda harris"
"something like spring, jay bell"
"the summer of us, lily morton"
"the letter, richard paul evans"
"the tower of the swallow, andrzej sapkowski"
"before i fall, lauren oliver"
"the man who could move clouds, ingrid rojas contreras"
"guarding suzannah, norah wilson"
"tender is the night, f. scott fitzgerald"
"blood of dragons, robin hobb"
"flutter, amanda hocking"
"all broke down, cora carmack"
"the hunt, aubrey clark"
"four, veronica roth"
"claymore, vol. 12, norihiro yagi"
"wisdom, amanda hocking"
"phantoms, dean koontz"
"akata warrior, nnedi okorafor"
"gigi, colette"
"anthem, ayn rand"
"aquamarin, andreas eschbach"
"the hotel, lola darling"
"raised by wolves, jennifer lynn barnes"
"wizard at large, terry brooks"
"a song to drown rivers, ann liang"
"every time a bell rings, carmel harrington"
"the wedding gift, lucy kevin"
"cream of the crop, alice clayton"
"half magic, edward eager"
"the crystal cave, mary stewart"
"turbulent desires, melody anne"
"a distant journey, di morrissey"
"the last present, wendy mass"
"zero tolerance, jonathan maberry"
"blade runner, philip k. dick"
"the australian, diana palmer"
"majipoor chronicles, robert silverberg"
"endlessly, kiersten white"
"beach blues, joanne demaio"
"my fierce highlander, vonda sinclair"
"all i want for christmas is a vampire, kerrelyn sparks"
"unspeakable, sandra brown"
"hades, alexandra adornetto"
"the tutor's daughter, julie klassen"
"the books of magic, neil gaiman"
"the sun is also a star, nicola yoon"
"rebel, marie lu"
"data, a love story, amy webb"
"quickie, penny wylder"
"13 bullets, david wellington"
"snowed in, rachel hawthorne"
"dragon of the red dawn, mary pope osborne"
"make her pay, roxanne st. claire"
"blush for me, kristen proby"
"falling together, marisa de los santos"
"her body and other parties, carmen maria machado"
"dying bites, d.d. barant"
"dane, liliana hart"
"better than life, grant naylor"
"a poison dark and drowning, jessica cluess"
"thirty-three and a half shenanigans, denise grover swank"
"there's someone inside your house, stephanie perkins"
"sword of the north, luke scull"
"draekora, lynette noni"
"monstress, volume 1, marjorie m. liu"
"who fears death, nnedi okorafor"
"wild man creek, robyn carr"
"spirit gate, kate elliott"
"the borrowers afield, mary norton"
"the truth about forever, sarah dessen"
"the gods themselves, isaac asimov"
"the journey, kathryn lasky"
"the best goodbye, abbi glines"
"clifford's kitten, norman bridwell"
"ostatnie życzenie, andrzej sapkowski"
"harry potter și piatra filosofală, j.k. rowling"
"the ex games 2, j.s. cooper"
"lucas, jay mclean"
"rock chick revenge, kristen ashley"
"poison, chris wooding"
"star trek vi, j.m. dillard"
"ramona blue, julie murphy"
"cinderella undone, nicole snow"
"ain't she sweet?, susan elizabeth phillips"
"i am number four, pittacus lore"
"the princess and the goblin, george macdonald"
"golden surrender, heather graham"
"call me irresistible, susan elizabeth phillips"
"we sold our souls, grady hendrix"
"dinosaurs before dark, mary pope osborne"
"one-punch man, vol. 2, one"
"blessed, s.j. west"
"charles, k.f. breene"
"isto acaba aqui, colleen hoover"
"akata witch, nnedi okorafor"
"a fatal waltz, tasha alexander"
"the famished road, ben okri"
"mr. darcy, vampyre, amanda grange"
"turtles all the way down, john green"
"meant to be, tiffany king"
"into the woods, kim harrison"
"waking the dead, heather graham"
"to light a candle, mercedes lackey"
"twenty love poems and a song of despair, pablo neruda"
"the one hundred years of lenni and margot, marianne cronin"
"scourge of the betrayer, jeff salyards"
"la colonna di fuoco, ken follett"
"the chance, karen kingsbury"
"unraveling, elizabeth norris"
"sea glass, maria v. snyder"
"the sacrifice, lynne ewing"
"the covenant of the crown, howard weinstein"
"veiled in moonlight, c.j. archer"
"only ever yours, louise o'neill"
"forever you, sandi lynn"
"hidden, kendra elliot"
"farnham's freehold, robert a. heinlein"
"songs of a dead dreamer and grimscribe, thomas ligotti"
"the jester, michael j. sullivan"
"the girl in red, christina henry"
"the demigod diaries, rick riordan"
"the beloved one, danelle harmon"
"the magic faraway tree collection, enid blyton"
"the queen of all that dies, laura thalassa"
"the tomten, astrid lindgren"
"im freien fall oder wie ich mich in eine pappfigur verliebte, jessica park"
"the pirate and the pagan, virginia henley"
"zen and the art of vampires, katie macalister"
"majesty, katharine mcgee"
"nothing can keep us together, cecily von ziegesar"
"inner circle, kate brian"
"1q84 #1-2, haruki murakami"
"babel, r.f. kuang"
"memórias póstumas de brás cubas, machado de assis"
"diuna, frank herbert"
"the silver devil, teresa denys"
"monster high, lisi harrison"
"the herald, ed greenwood"
"perfect, ellen hopkins"
"ravenor returned, dan abnett"
"death sworn, leah cypess"
"the castle of crossed destinies, italo calvino"
"bleach, vol. 4, tite kubo"
"wolf by wolf, ryan graudin"
"not quite narwhal, jessie sima"
"second chance summer, morgan matson"
"sister peters in amsterdam, betty neels"
"perfect on paper, sophie gonzales"
"one piece, volume 14, eiichiro oda"
"unfettered, shawn speakman"
"their virgin captive, shayla black"
"full steam ahead, karen witemeyer"
"let it snow, john green"
"let the dead sleep, heather graham"
"the darkest prison, gena showalter"
"take a chance on me, jennifer dawson"
"redoubt, mercedes lackey"
"a lady by midnight, tessa dare"
"august moon, jess lourey"
"the skies of pern, anne mccaffrey"
"the dunwich horror, h.p. lovecraft"
"the wicked wedding of miss ellie vyne, jayne fresina"
"demons forever, sarra cannon"
"the cabin, natasha preston"
"mason, dale mayer"
"atlanta heat, lora leigh"
"bodies of water, t. greenwood"
"my lord john, georgette heyer"
"first impressions, nora roberts"
"the player, denise grover swank"
"up for heir, ruth cardello"
"20th century ghosts, joe hill"
"astro city, vol. 3, kurt busiek"
"they shall have stars, james blish"
"their stepsister, alexa riley"
"rivals, jilly cooper"
"the other side of someday, t.k. leigh"
"the umbrella academy, vol. 1, gerard way"
"die welt, wie wir sie kannten, susan beth pfeffer"
"valkyrie rising, ingrid paulson"
"the outcast, sadie jones"
"this is not the end, chandler baker"
"arthur spiderwick's field guide to the fantastical world around you, tony diterlizzi"
"beneath these chains, meghan march"
"the finisher, david baldacci"
"blame! 6, tsutomu nihei"
"the spirit clearing, mark tufo"
"the calling of emily evans, janette oke"
"giles goat-boy, john barth"
"hotshot, julie garwood"
"tempting fate, jane green"
"wayne of gotham, tracy hickman"
"skinny me, charlene carr"
"invitation only, kate brian"
"blue beard, charles perrault"
"bright young things, anna godbersen"
"raging love, jennifer foor"
"fractal mode, piers anthony"
"fairy tale, stephen king"
"bull, david elliott"
"the siege, peter david"
"diebe im olymp, rick riordan"
"the maze runner trilogy, james dashner"
"mcelligot's pool, dr. seuss"
"a gathering of shadows, v.e. schwab"
"the abyss, orson scott card"
"q-space, greg cox"
"have my baby, taryn quinn"
"saint, a. zavarelli"
"die for me, cynthia eden"
"sins of sevin, penelope ward"
"fall of knight, peter david"
"silent night, colleen coble"
"searching for someday, jennifer probst"
"most valuable playboy, lauren blakely"
"revenge of the lawn gnomes, r.l. stine"
"the penitent damned, django wexler"
"collared, nicole williams"
"birthright, nora roberts"
"upgrade, blake crouch"
"dark horse, michelle diener"
"my storm, tiffany patterson"
"taproot, keezy young"
"the real mrs. price, j.d. mason"
"beautiful day, elin hilderbrand"
"irresistible desire, danielle jamie"
"the hammer, k.j. parker"
"deadly little games, laurie faria stolarz"
"the realm of possibility, david levithan"
"magic breaks, ilona andrews"
"lover mine, j.r. ward"
"sweet surrender, maya banks"
"burned, p.c. cast"
"the betrayal of the blood lily, lauren willig"
"the will of the empress, tamora pierce"
"scorpion, kathryn le veque"
"thick as thieves, megan whalen turner"
"penelope, rebecca harrington"
"guilty, karen robards"
"aquí dentro siempre llueve, chris pueyo"
"the boys, volume 8, garth ennis"
"the duchess war, courtney milan"
"the unpleasant profession of jonathan hoag, robert a. heinlein"
"a sliver of shadow, allison pang"
"the death and life of superman, roger stern"
"geekerela, ashley poston"
"death, taxes, and hot-pink leg warmers, diane kelly"
"most of all you, mia sheridan"
"eon, greg bear"
"prador moon, neal asher"
"unbreak my heart, nicole jacquelyn"
"test of the twins, margaret weis"
"honor and obey, teresa mummert"
"who we truly are, victoria sue"
"the guard, kiera cass"
"one fish, two fish, red fish, blue fish, dr. seuss"
"master of the abyss, cherise sinclair"
"glory season, david brin"
"the convenient marriage, georgette heyer"
"unfixable, tessa bailey"
"gateway, frederik pohl"
"soul tourists, bernardine evaristo"
"secret santa, kati wilde"
"heroine complex, sarah kuhn"
"disobedience, naomi alderman"
"supernova, marissa meyer"
"prodigal son, dean koontz"
"forever black, sandi lynn"
"#nerd, cambria hebert"
"jesse's girl, miranda kenneally"
"showmance, l.h. cosway"
"stellaluna, janell cannon"
"tamsin, peter s. beagle"
"heartthrob, suzanne brockmann"
"mrs. miracle, debbie macomber"
"the fifth elephant, terry pratchett"
"path of fate, diana pharaoh francis"
"the passion, jeanette winterson"
"rich people problems, kevin kwan"
"monster, michael grant"
"monster in the closet, karen rose"
"invasion, sean platt"
"duma key, stephen king"
"little bear, else holmelund minarik"
"faebound, saara el-arifi"
"not quite enough, catherine bybee"
"good grief, lolly winston"
"megatokyo, volume 6, fred gallagher"
"a twist in time, julie mcelwain"
"el héroe perdido, rick riordan"
"the stolen marriage, diane chamberlain"
"querido diego, te abraza quiela, elena poniatowska"
"no turning back, tiffany snow"
"tyed, l.j. shen"
"saving angel, j.l. weil"
"skitter, ezekiel boone"
"how to hang a witch, adriana mather"
"the lady and the mountain man, misty m. beller"
"the call of cthulhu and other weird stories, h.p. lovecraft"
"taut, j.a. huss"
"russian fairy tales, alexander afanasyev"
"the spanish bride, georgette heyer"
"ilvermorny school of witchcraft and wizardry, j.k. rowling"
"moving maverick, lucy lennox"
"under the christmas tree, robyn carr"
"the princess pact, melanie cellier"
"the ladies of covington send their love, joan medlicott"
"lucky in love, kasie west"
"northern exposure, jayne rylon"
"0.4, mike a. lancaster"
"un día más, mitch albom"
"the hurricane wars, thea guanzon"
"this perfect day, ira levin"
"attack on titan, hajime isayama"
"the sound, sarah alderson"
"the dark side of nowhere, neal shusterman"
"while angels slept, kathryn le veque"
"sticks and stones, susie tate"
"devoted, hilary duff"
"fruits basket, vol. 14, natsuki takaya"
"going down easy, carly phillips"
"blood dreams, kay hooper"
"nobody's perfect, kallypso masters"
"larkspur cove, lisa wingate"
"the confusion, neal stephenson"
"divided allegiance, elizabeth moon"
"the twenty days of turin, giorgio de maria"
"foe, iain reid"
"shalador's lady, anne bishop"
"reese's bride, kat martin"
"my name is resolute, nancy e. turner"
"the day i swapped my dad for two goldfish, neil gaiman"
"the lay of aotrou and itroun, j.r.r. tolkien"
"dark desire, christine feehan"
"kingdom come, tim lahaye"
"conquer your love, j.c. reed"
"tattered on my sleeve, autumn jones lake"
"eragon, christopher paolini"
"the price of the phoenix, sondra marshak"
"friends and lovers, eric jerome dickey"
"going rogue, robin benway"
"harry potter und der orden des phönix, j.k. rowling"
"it happens in the hamptons, holly peterson"
"the gilded ones, namina forna"
"cashelmara, susan howatch"
"the vital abyss, james s.a. corey"
"family tree, susan wiggs"
"knocked out by my nunga-nungas, louise rennison"
"i am having so much fun here without you, courtney maum"
"harry potter, andrew williamson"
"maid-sama! vol. 01, hiro fujiwara"
"morrighan, mary e. pearson"
"the pirate king, r.a. salvatore"
"signatures of the dead, faith hunter"
"the warrior's apprentice, lois mcmaster bujold"
"shadowland, alyson noel"
"swift and saddled, lyla sage"
"unhinged, a.g. howard"
"famous in love, rebecca serle"
"penric’s mission, lois mcmaster bujold"
"fire & blood, george r.r. martin"
"star trek 3, james blish"
"jim knopf und lukas der lokomotivführer, michael ende"
"kalki, gore vidal"
"kushiel's chosen, jacqueline carey"
"purple orchids, samantha christy"
"betrayed, nicky charles"
"never have i ever, katie heaney"
"tell me how long the train's been gone, james baldwin"
"magic on the hunt, devon monk"
"killer of men, christian cameron"
"an inconvenient mate, lora leigh"
"barefoot season, susan mallery"
"the thousandth floor, katharine mcgee"
"polar bears past bedtime, mary pope osborne"
"the prisoner of cell 25, richard paul evans"
"emily and einstein, linda francis lee"
"green darkness, anya seton"
"the impossible knife of memory, laurie halse anderson"
"let's be just friends, camilla isley"
"the hanover square affair, ashley gardner"
"spider, ilsa madden-mills"
"wild man, kristen ashley"
"the linnet bird, linda holeman"
"catharsis, travis bagwell"
"gwen & art are not in love, lex croucher"
"miss spelled, morgana best"
"swimming lessons, mary alice monroe"
"red-headed stepchild, jaye wells"
"fallen, laury falter"
"enlazados, rainbow rowell"
"dirty beasts, roald dahl"
"starclimber, kenneth oppel"
"wicked delights of a bridal bed, tracy anne warren"
"one word kill, mark lawrence"
"the half king, melissa landers"
"the killing game, toni anderson"
"kosogłos, suzanne collins"
"dark predator, christine feehan"
"blood trade, faith hunter"
"blood red road, moira young"
"black science, vol. 1, rick remender"
"my sister's secret, tracy buchanan"
"uneasy money, p.g. wodehouse"
"orgoglio e pregiudizio, jane austen"
"pirate latitudes, michael crichton"
"h2o, virginia bergin"
"beautiful disaster, kate brian"
"loving war, c.m. owens"
"bastille vs. the evil librarians, brandon sanderson"
"even cowgirls get the blues, tom robbins"
"candy girl, eve vaughn"
"time enough for love, robert a. heinlein"
"the princess companion, melanie cellier"
"claiming victory, beverley watts"
"the curse of camp cold lake, r.l. stine"
"blood bond, heather hildenbrand"
"10 years later, j. sterling"
"prophet, frank e. peretti"
"the dead don't dance, charles martin"
"in pursuit of justice, radclyffe"
"even vampires get the blues, katie macalister"
"blankets, craig thompson"
"o mundo de sofia, jostein gaarder"
"the seven year slip, ashley poston"
"cardcaptor sakura, clamp"
"almost heaven, judith mcnaught"
"king and the dragonflies, kacen callender"
"how to love, katie cotugno"
"if you could see the sun, ann liang"
"fullmetal alchemist, vol. 23, hiromu arakawa"
"a girl like you, gemma burgess"
"hunted, k.f. breene"
"dragon's blood, jane yolen"
"extinction machine, jonathan maberry"
"the arrangement, sarah dunn"
"immortal reign, morgan rhodes"
"ebola k, bobby adair"
"the king's curse, philippa gregory"
"sea of strangers, lang leav"
"good, s. walden"
"the annotated lolita, vladimir nabokov"
"the epic of gilgamesh, anonymous"
"lily's white lace, carolyn brown"
"heat rises, richard castle"
"a terrible beauty, tasha alexander"
"the medusa plot, gordon korman"
"rock chick redemption, kristen ashley"
"mrs. frisby and the rats of nimh, robert c. o'brien"
"edge of dawn, lara adrian"
"the idea of you, robinne lee"
"the perfect christmas, debbie macomber"
"metro girl, janet evanovich"
"mrs. piggle-wiggle, betty macdonald"
"the quiet gentleman, georgette heyer"
"paint the wind, cathy cash spellman"
"at peace, kristen ashley"
"thrown by a curve, jaci burton"
"one fell sweep, ilona andrews"
"sixth grave on the edge, darynda jones"
"the love hypothesis, ali hazelwood"
"maggie, charles martin"
"the night sister, jennifer mcmahon"
"snow country, yasunari kawabata"
"shift, jeri smith-ready"
"nerds are freaks too, koko brown"
"a love of my own, e. lynn harris"
"before, cambria hebert"
"morning star, pierce brown"
"the restaurant at the end of the universe, douglas adams"
"the happy prince, oscar wilde"
"trust, kylie scott"
"blue moon, laurell k. hamilton"
"love hina, vol. 07, ken akamatsu"
"gentlemen of the road, michael chabon"
"severed, evangeline anderson"
"the gathering storm, robert jordan"
"the masque of the black tulip, lauren willig"
"exoskeleton, shane stadler"
"dangerous visions, harlan ellison"
"this rough magic, mary stewart"
"taking a shot, jaci burton"
"a royal christmas wedding, rachel hauck"
"the wreath, sigrid undset"
"wilder, rebecca yarros"
"ghostly issues, lily harper hart"
"love from a to z, s.k. ali"
"dare you to, katie mcgarry"
"every wrong reason, rachel higginson"
"a name unknown, roseanna m. white"
"broken compass, jaymin eve"
"the white tower, michael wisehart"
"for one more day, mitch albom"
"say i'm yours, corinne michaels"
"the light we lost, jill santopolo"
"true colors, thea harrison"
"girl meets boy, ali smith"
"until it fades, k.a. tucker"
"i heart vegas, lindsey kelk"
"that month in tuscany, inglath cooper"
"reach for the sky, gwen knight"
"czas żniw, samantha shannon"
"far from the madding crowd, thomas hardy"
"halo, frank o'connor"
"shards of time, lynn flewelling"
"the bachman books, stephen king"
"shades of milk and honey, mary robinette kowal"
"the beekeeper's daughter, santa montefiore"
"namesake, adrienne young"
"sinner, ted dekker"
"finding father christmas, robin jones gunn"
"when dinosaurs came with everything, elise broach"
"the road to jerusalem, jan guillou"
"hopeless, colleen hoover"
"agent to the stars, john scalzi"
"claimed by shadow, karen chance"
"brunch at ruby's, dl white*"
"the shadowed sun, n.k. jemisin"
