Title,Author,Rating,User_id,isbn,num_ratings,avg_rating,num_pages,review,date_started,date_read,date_added,format,date_pub_edition
"Protecting What's Mine
        (Benevolence, #3)","Score, Lucy*",Invalid rating,117995654,,"47,002",4.34,476pp,None,"Aug 04, 2020","Aug 08, 2020","Jul 21, 2020",ebook,"Jan 16, 2020"
By a Thread,"Score, Lucy*",5,117995654,,"166,919",4.08,584pp,Absolutely amazing Grumpy Boss romance! Lucy has done it again!!!!,"Aug 13, 2020","Aug 22, 2020","Jul 21, 2020",ebook,"Apr 23, 2020"
"Fall Into Temptation
        (Blue Moon, #2)","Score, Lucy*",Invalid rating,117995654,,"39,013",4.19,411pp,None,not set,"Jul 22, 2020","Jul 21, 2020",Kindle Edition,Sep 2017
"The Last Second Chance
        (Blue Moon, #3)","Score, Lucy*",Invalid rating,117995654,,"29,187",4.32,479pp,None,not set,"Jul 23, 2020","Jul 21, 2020",Kindle Edition,Sep 2017
"The Fine Art of Faking It
        (Blue Moon, #6)","Score, Lucy*",Invalid rating,117995654,1945631252,"17,486",4.26,436pp,None,not set,"Jul 26, 2020","Jul 21, 2020",Paperback,"Jul 13, 2018"
"Holding On to Chaos
        (Blue Moon, #5)","Score, Lucy*",Invalid rating,117995654,,"21,425",4.33,420pp,None,"Jul 24, 2020","Jul 25, 2020","Jul 21, 2020",ebook,"Sep 25, 2017"
Undercover Love,"Score, Lucy*",Invalid rating,117995654,194563118X,"20,232",4.05,252pp,None,"Jul 29, 2020","Jul 30, 2020","Jul 21, 2020",Kindle Edition,Feb 2020
"Not Part of the Plan
        (Blue Moon, #4)","Score, Lucy*",Invalid rating,117995654,1945631066,"23,045",4.34,358pp,None,not set,"Jul 24, 2020","Jul 21, 2020",Kindle Edition,"Apr 10, 2017"
"Breaking the Rules
        (Sinner and Saint, #2)","Score, Lucy*",Invalid rating,117995654,194563104X,"13,486",4.28,372pp,None,not set,"Jul 21, 2020","Jul 21, 2020",Kindle Edition,"Feb 23, 2019"
"Crossing the Line
        (Sinner and Saint, #1)","Score, Lucy*",Invalid rating,117995654,1945631023,"13,741",4.24,412pp,None,"Jul 19, 2020","Jul 20, 2020","Jul 19, 2020",Kindle Edition,"Jun 14, 2018"
"Strictly Professional
        (The Quinn Sisters, #1)","Nolan, Kathryn*",Invalid rating,117995654,,"3,104",4.17,408pp,None,"Aug 31, 2020",Sep 2020,"Jul 16, 2020",ebook,"Sep 21, 2018"
Wild Open Hearts,"Nolan, Kathryn*",Invalid rating,117995654,,"8,947",4.33,388pp,None,"Jul 16, 2020","Jul 16, 2020","Jul 14, 2020",Kindle Edition,"Oct 25, 2019"
The Price of Scandal,"Score, Lucy*",Invalid rating,117995654,,"17,776",4.33,424pp,None,"Jul 15, 2020","Jul 16, 2020","Jul 14, 2020",Kindle Edition,"Sep 27, 2019"
Crazy for Loving You,"Grant, Pippa*",Invalid rating,117995654,194051777X,"10,877",4.23,389pp,None,"Jul 16, 2020","Jul 17, 2020","Jul 14, 2020",Kindle Edition,"Nov 08, 2019"
"Puck Me Secretly
        (Vancouver Wolves Hockey, #1)","Stone, Odette*",Invalid rating,117995654,0995020078,"47,384",3.94,406pp,None,"Sep 02, 2020","Sep 02, 2020","Jul 13, 2020",Kindle Edition,"Apr 18, 2019"
"The Change Up
        (The Brentwood Boys, #5)","Quinn, Meghan*",Invalid rating,117995654,,"20,897",4.04,382pp,None,"Nov 08, 2020","Nov 10, 2020","Jul 12, 2020",Kindle Edition,"Jun 11, 2020"
Remembering Ivy,"Kingsley, Claire*",Invalid rating,117995654,,"3,332",4.26,unknown,None,not set,"Jul 17, 2020","Jul 12, 2020",Unknown Binding,"Jan 05, 2018"
His Heart,"Kingsley, Claire*",Invalid rating,117995654,,"2,872",4.37,378pp,None,"Jul 17, 2020","Jul 19, 2020","Jul 12, 2020",ebook,"Nov 05, 2017"
"In Search of the Lost World
        (Primordia, #1)","Beck, Greig*",Invalid rating,117995654,,"2,917",4.03,248pp,None,"Jul 11, 2020","Jul 11, 2020","Jul 11, 2020",Kindle Edition,"Dec 13, 2017"
"Gin Fling
        (Bootleg Springs, #5)","Score, Lucy*",Invalid rating,117995654,,"16,788",4.46,404pp,None,"Jul 12, 2020","Jul 13, 2020","Jul 08, 2020",ebook,"Jun 26, 2019"
"Moonshine Kiss
        (Bootleg Springs, #3)","Score, Lucy*",Invalid rating,117995654,,"18,739",4.38,412pp,None,"Jul 10, 2020","Jul 11, 2020","Jul 08, 2020",ebook,"Dec 07, 2018"
"Gaining Miles
        (Miles Family, #5)","Kingsley, Claire*",Invalid rating,117995654,,"11,253",4.38,140pp,None,not set,Jan 2020,"Jul 08, 2020",ebook,"Apr 05, 2019"
"Hidden Miles
        (Miles Family, #4)","Kingsley, Claire*",5,117995654,,"15,139",4.39,372pp,None,"Jul 08, 2020","Jul 08, 2020","Jul 08, 2020",ebook,"Mar 22, 2019"
"Reckless Miles
        (Miles Family, #3)","Kingsley, Claire*",Invalid rating,117995654,,"13,972",4.37,364pp,None,not set,not set,"Jul 08, 2020",ebook,"Sep 21, 2018"
"Fighting for Us
        (Bailey Brothers, #2)","Kingsley, Claire*",Invalid rating,117995654,,"22,313",4.27,443pp,None,"Jul 18, 2020","Jul 19, 2020","Jul 08, 2020",ebook,"May 28, 2020"
"Bourbon Bliss
        (Bootleg Springs, #4)","Kingsley, Claire*",Invalid rating,117995654,,"17,583",4.39,396pp,None,"Jul 11, 2020","Jul 12, 2020","Jul 08, 2020",ebook,"Jan 04, 2019"
"Protecting You
        (Bailey Brothers, #1)","Kingsley, Claire*",Invalid rating,117995654,,"26,849",3.88,167pp,None,"Jul 18, 2020","Jul 18, 2020","Jul 08, 2020",ebook,"May 21, 2020"
The Mogul and the Muscle,"Kingsley, Claire*",Invalid rating,117995654,,"11,624",4.29,364pp,None,"Jul 14, 2020","Jul 15, 2020","Jul 08, 2020",Kindle Edition,"Oct 11, 2019"
"Highball Rush
        (Bootleg Springs, #6)","Kingsley, Claire*",Invalid rating,117995654,,"17,227",4.56,464pp,None,"Jul 13, 2020","Jul 15, 2020","Jul 08, 2020",ebook,"Jul 24, 2019"
"Sidecar Crush
        (Bootleg Springs, #2)","Kingsley, Claire*",Invalid rating,117995654,,"18,293",4.25,352pp,None,"Jul 10, 2020","Jul 10, 2020","Jul 08, 2020",ebook,"May 11, 2018"
"Whiskey Chaser
        (Bootleg Springs, #1)","Score, Lucy*",Invalid rating,117995654,,"26,807",4.24,388pp,None,"Jul 08, 2020","Jul 10, 2020","Jul 08, 2020",ebook,"Apr 13, 2018"
Dirty Debt,"Landish, Lauren*",Invalid rating,117995654,,476,3.96,290pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Sep 27, 2017"
"Mr. Fiancé
        (Irresistible Bachelors #2)","Landish, Lauren*",Invalid rating,117995654,,"3,527",4.14,274pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"May 19, 2017"
"Matchmaker
        (Irresistible Bachelors #6)","Landish, Lauren*",Invalid rating,117995654,,"1,473",4.33,272pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Oct 19, 2017"
"Mr. Fixit
        (Irresistible Bachelors #5)","Landish, Lauren*",Invalid rating,117995654,1975814762,"2,225",4.32,314pp,None,not set,Jan 2020,"Jul 06, 2020",Paperback,"Aug 26, 2017"
"Silk and Shadows
        (The Virgin Diaries #3)","Landish, Lauren*",Invalid rating,117995654,,"1,153",4.01,126pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Sep 18, 2018"
"Addicted
        (Bad Boy Stepbrothers, #1)","Landish, Lauren*",Invalid rating,117995654,,"1,197",3.67,223pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jan 21, 2016"
"Leather and Lace
        (The Virgin Diaries #2)","Landish, Lauren*",Invalid rating,117995654,,"1,438",3.90,123pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Sep 02, 2018"
"Untamed
        (Irresistible Bachelors #9)","Landish, Lauren*",Invalid rating,117995654,,"1,217",4.33,292pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jun 08, 2018"
Duty,"Landish, Lauren*",Invalid rating,117995654,,"1,120",3.89,257pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Nov 06, 2016"
Scorpio,"Landish, Lauren*",Invalid rating,117995654,,899,4.19,352pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"May 12, 2018"
"Stud Muffin
        (Irresistible Bachelors #4)","Landish, Lauren*",Invalid rating,117995654,,"2,011",4.32,306pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jul 24, 2017"
"Heartstopper
        (Irresistible Bachelors #3)","Landish, Lauren*",Invalid rating,117995654,,"2,646",4.16,unknown,None,not set,Jan 2020,"Jul 06, 2020",Unknown Binding,unknown
"Motorhead
        (Irresistible Bachelors #7)","Landish, Lauren*",Invalid rating,117995654,,"1,935",4.31,272pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Nov 08, 2017"
"Tempted
        (Bad Boy Next Door, #2)","Landish, Lauren*",Invalid rating,117995654,,"2,793",3.91,242pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Oct 22, 2016"
"Inked
        (Bad Boys Next Door, #1)","Landish, Lauren*",Invalid rating,117995654,,"4,112",3.83,252pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Sep 30, 2016"
Mr. CEO,"Landish, Lauren*",Invalid rating,117995654,,"4,073",3.97,268pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Nov 16, 2016"
"Satin and Pearls
        (The Virgin Diaries #1)","Landish, Lauren*",Invalid rating,117995654,,"2,590",3.54,94pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Aug 17, 2018"
Filthy Riches,"Landish, Lauren*",Invalid rating,117995654,,"1,447",4.04,454pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Mar 05, 2019"
"Happily Never After
        (Dirty Fairy Tales #3)","Landish, Lauren*",Invalid rating,117995654,,"4,259",4.30,374pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"May 16, 2019"
"Baby Daddy
        (Irresistible Bachelors #8)","Landish, Lauren*",Invalid rating,117995654,,"2,572",4.04,292pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Dec 06, 2017"
"Rough Edge
        (Tannen Boys, #2)","Landish, Lauren*",Invalid rating,117995654,,"4,805",4.38,320pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Mar 30, 2020"
"Not So Prince Charming
        (Dirty Fairy Tales #2)","Landish, Lauren*",Invalid rating,117995654,,"4,343",4.23,378pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Apr 09, 2019"
"Dirty Laundry
        (Get Dirty, #2)","Landish, Lauren*",Invalid rating,117995654,,"3,848",4.26,237pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Mar 07, 2018"
"Dirty Deeds
        (Get Dirty, #3)","Landish, Lauren*",Invalid rating,117995654,,"4,406",4.09,264pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Apr 12, 2018"
"Dirty Secrets
        (Get Dirty #4)","Landish, Lauren*",Invalid rating,117995654,,"3,952",4.10,348pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Nov 29, 2018"
"Rough Love
        (Tannen Boys, #1)","Landish, Lauren*",Invalid rating,117995654,,"7,305",4.20,344pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Dec 28, 2019"
"Dirty Talk
        (Get Dirty, #1)","Landish, Lauren*",Invalid rating,117995654,,"9,714",3.96,300pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Dec 26, 2017"
"Beauty and the Billionaire
        (Dirty Fairy Tales #1)","Landish, Lauren*",Invalid rating,117995654,,"10,390",3.84,336pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jan 27, 2019"
My Big Fat Fake Wedding,"Landish, Lauren*",Invalid rating,117995654,,"14,556",3.99,360pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Sep 15, 2019"
"The Dare
        (Truth or Dare #1)","Landish, Lauren*",Invalid rating,117995654,,"15,006",3.87,302pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Feb 01, 2020"
The Romeo Arrangement,"Snow, Nicole*",Invalid rating,117995654,,"8,763",4.24,422pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jul 01, 2020"
Last Time We Kissed,"Snow, Nicole*",Invalid rating,117995654,,"1,273",4.21,330pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Apr 04, 2018"
"No Fair Lady
        (Heroes of Heart's Edge, #5)","Snow, Nicole*",Invalid rating,117995654,,"3,643",4.44,186pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Mar 26, 2020"
"One Night Bride
        (Only Pretend, #2)","Snow, Nicole*",Invalid rating,117995654,,"2,108",4.38,320pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Nov 03, 2017"
"Still Not Love
        (Enguard Protectors #4)","Snow, Nicole*",Invalid rating,117995654,,"4,236",4.47,400pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Feb 13, 2019"
Stepbrother UnSEALed,"Snow, Nicole*",Invalid rating,117995654,,"1,824",3.84,313pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Aug 26, 2015"
Prince with Benefits,"Snow, Nicole*",Invalid rating,117995654,,"4,704",3.75,330pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Jul 01, 2016"
"Fiancé on Paper
        (Only Pretend, #1)","Snow, Nicole*",Invalid rating,117995654,,"3,239",4.12,320pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jun 30, 2017"
Marry Me Again,"Snow, Nicole*",Invalid rating,117995654,,"3,407",3.84,unknown,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,unknown
"No White Knight
        (Heroes of Heart's Edge #6)","Snow, Nicole*",Invalid rating,117995654,,"4,477",4.46,440pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"May 05, 2020"
Stepbrother Charming,"Snow, Nicole*",Invalid rating,117995654,,"3,386",3.62,348pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Apr 28, 2015"
No Damaged Goods,"Snow, Nicole*",Invalid rating,117995654,,"5,764",4.36,440pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Feb 20, 2020"
Man Enough,"Snow, Nicole*",Invalid rating,117995654,,"3,240",4.20,315pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Mar 02, 2018"
"Still Not Into You
        (Enguard Protectors #2)","Snow, Nicole*",Invalid rating,117995654,,"5,207",4.31,310pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Oct 10, 2018"
Cinderella Undone,"Snow, Nicole*",Invalid rating,117995654,,"4,270",4.01,310pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Aug 30, 2017"
"Accidental Shield
        (Marriage Mistake, #6)","Snow, Nicole*",Invalid rating,117995654,,"5,576",4.37,386pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jan 01, 2020"
"Accidental Rebel
        (Marriage Mistake, #5)","Snow, Nicole*",Invalid rating,117995654,,"5,941",4.35,396pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Sep 11, 2019"
"No Broken Beast
        (Heroes of Heart’s Edge, #3)","Snow, Nicole*",Invalid rating,117995654,,"6,217",4.33,430pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Nov 05, 2019"
"No Good Doctor
        (Heroes of Heart's Edge, #2)","Snow, Nicole*",Invalid rating,117995654,,"7,510",4.18,400pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jul 30, 2019"
Accidental Protector,"Snow, Nicole*",Invalid rating,117995654,,"6,998",4.20,330pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Aug 30, 2018"
"Still Not Yours
        (Enguard Protectors #3)","Snow, Nicole*",Invalid rating,117995654,,"6,390",4.21,418pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Nov 18, 2018"
"Accidental Romeo
        (Marriage Mistake, #3)","Snow, Nicole*",Invalid rating,117995654,,"8,530",4.29,414pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jan 01, 2019"
"Still Not Over You
        (Enguard Protectors #1)","Snow, Nicole*",Invalid rating,117995654,,"8,671",4.03,320pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jul 19, 2018"
Accidental Hero,"Snow, Nicole*",Invalid rating,117995654,,"10,124",4.09,370pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"May 07, 2018"
"No Perfect Hero
        (Heroes of Heart’s Edge, #1)","Snow, Nicole*",Invalid rating,117995654,,"12,964",4.11,394pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Apr 03, 2019"
"Accidental Knight
        (Marriage Mistake, #4)","Snow, Nicole*",Invalid rating,117995654,,"11,050",4.12,394pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"May 27, 2019"
"Her Best Friend
        (Book Boyfriends, #3.5)","Kingsley, Claire*",Invalid rating,117995654,,964,4.20,40pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Aug 23, 2017"
"Always Ever After
        (Always, #2.5)","Kingsley, Claire*",Invalid rating,117995654,,"3,510",4.35,66pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Dec 28, 2019"
"Operation Get Her Back
        (Jetty Beach, #4)","Kingsley, Claire*",Invalid rating,117995654,,"4,175",4.32,242pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Oct 18, 2016"
"Messy Perfect Love
        (Jetty Beach, #3)","Kingsley, Claire*",Invalid rating,117995654,,"4,365",4.23,243pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Aug 24, 2016"
"Always Will
        (Always, #2)","Kingsley, Claire*",Invalid rating,117995654,,"4,746",4.22,324pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Nov 20, 2017"
"Good Girl Next Door
        (Jetty Beach, #6)","Kingsley, Claire*",Invalid rating,117995654,,"4,030",4.42,213pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Feb 08, 2017"
"One Crazy Week
        (Jetty Beach, #2)","Kingsley, Claire*",Invalid rating,117995654,,"4,954",4.25,245pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Feb 07, 2016"
"The Path To You
        (Jetty Beach, #7)","Kingsley, Claire*",Invalid rating,117995654,,"3,774",4.42,216pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"May 09, 2017"
"Weekend Fling
        (Jetty Beach, #5)","Kingsley, Claire*",Invalid rating,117995654,,"4,170",4.33,213pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jan 03, 2017"
"Behind His Eyes
        (Jetty Beach, #1)","Kingsley, Claire*",Invalid rating,117995654,,"5,902",4.00,247pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Jul 14, 2016"
"Always Have
        (Always, #1)","Kingsley, Claire*",Invalid rating,117995654,,"7,336",4.08,244pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Sep 20, 2016"
"Hot Single Dad
        (Book Boyfriends, #3)","Kingsley, Claire*",Invalid rating,117995654,,"9,008",4.05,274pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Aug 22, 2017"
"Love According to Science
        (Dirty Martini Running Club #2)","Kingsley, Claire*",5,117995654,,"19,133",4.12,unknown,None,not set,Jan 2020,"Jul 06, 2020",,"Jan 23, 2020"
"Cocky Roommate
        (Book Boyfriends, #2)","Kingsley, Claire*",Invalid rating,117995654,,"11,406",4.12,278pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Jun 27, 2017"
"Broken Miles
        (Miles Family, #1)","Kingsley, Claire*",Invalid rating,117995654,,"17,406",4.18,298pp,None,"Jul 20, 2020not set","Aug 14, 2020Jan 2020","Jul 06, 2020",ebook,"Mar 05, 2018"
"Book Boyfriend
        (Book Boyfriends, #1)","Kingsley, Claire*",Invalid rating,117995654,,"16,402",3.90,220pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"Apr 04, 2017"
"Faking Ms. Right
        (Dirty Martini Running Club, #1)","Kingsley, Claire*",Invalid rating,117995654,,"38,819",4.07,354pp,None,not set,Jan 2020,"Jul 06, 2020",ebook,"May 23, 2019"
"Forbidden Miles
        (Miles Family, #2)","Kingsley, Claire*",Invalid rating,117995654,,"14,456",4.23,330pp,None,"Jul 06, 2020","Jul 06, 2020","Jul 06, 2020",ebook,"Jul 20, 2018"
"Racing Hearts
        (Bennett Boys Ranch, #3)","Landish, Lauren*",Invalid rating,117995654,,"5,691",4.38,379pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Aug 08, 2019"
"Riding Hard
        (Bennett Boys Ranch, #2)","Landish, Lauren*",5,117995654,1503958507,"8,485",4.35,269pp,I love Mark's story! The ultimate Grumpy Alpha Cowboy who never thought he would find someone who truly got him. Amazing series!I love Mark's story! The ultimate Grumpy Alpha Cowboy who never thought he would find someone who truly got him. Amazing series!...more,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Mar 26, 2019"
"Buck Wild
        (Bennett Boys Ranch, #1)","Landish, Lauren*",5,117995654,1503957888,"12,059",4.10,268pp,None,not set,Jan 2020,"Jul 06, 2020",Kindle Edition,"Sep 25, 2018"
"The Encanto's Daughter
        (The Encanto's Daughter #1)","Cruz, Melissa de la*",3,117995659,0593533089,751,3.69,320pp,None,not set,not set,"May 03, 2025",Hardcover,"Mar 05, 2024"
The Song of Achilles,"Miller, Madeline*",2,117995659,,"1,809,034",4.31,408pp,None,"Mar 24, 2025","Mar 28, 2025","Mar 24, 2025",Paperback,"Aug 28, 2012"
Amber and Clay,"Schlitz, Laura Amy",5,117995659,1536201227,"1,746",4.13,527pp,Great Read!,"Mar 08, 2025","Mar 21, 2025","Mar 08, 2025",Hardcover,"Mar 09, 2021"
The Book of Negroes,"Hill, Lawrence",5,117995659,0393351394,"89,786",4.47,512pp,"This book was wonderful. It really brought to life the experiences of Africans who were trafficked during the Atlantic slave trade. Overall, a great rThis book was wonderful. It really brought to life the experiences of Africans who were trafficked during the Atlantic slave trade. Overall, a great read....more","Mar 08, 2025","Mar 24, 2025","Mar 08, 2025",Paperback,"Jan 12, 2015"
"A River Enchanted
        (Elements of Cadence, #1)","Ross, Rebecca*",4,117995659,0063055988,"80,416",4.07,480pp,"The book was a great find, and I really enjoyed reading it. The summary doesn't do justice to the book's actual plot. This story wasn't just about JacThe book was a great find, and I really enjoyed reading it. The summary doesn't do justice to the book's actual plot. This story wasn't just about Jack; it was about the many people in the town whose lives and relationships were intertwined. One thing I really loved about this story was the relationship between Torin and Sidra. Sometimes, you can tell which character's story an author is really passionate about telling. Their relationship on the paper felt real and tangible, and they had very realistic emotions and fleshed-out dialogues.However, since Jack is the main character in this novel, I was terribly disappointed in the way he was regarded as a side character. His romance with Adaira felt very frustrating because I genuinely couldn't feel the chemistry between the characters. I felt like the author just shoved the enemies-to-lovers trope in our faces. It didn't feel real or fleshed out properly, and I kept comparing their relationship to that of Torin and Sidra (which left me wanting more). In fact, at the end, I was a bit relieved when Adaira decided to leave Jack to remain in the west (or east?) I forgot which side they were on.In the end, I will definitely get a paper copy of this book to keep at home. It was a very warm, cozy and slow (EMPHASIS on SLOW) read....more","Mar 08, 2025","Mar 12, 2025","Mar 08, 2025",Hardcover,"Feb 15, 2022"
"The Poppy War
        (The Poppy War, #1)","Kuang, R.F.*",5,117995659,0062662597,"390,871",4.17,545pp,None,not set,"Mar 06, 2025","Mar 07, 2025",Kindle Edition,"May 01, 2018"
Handle with Care,"Picoult, Jodi*",4,117995659,0743296419,"135,521",4.00,477pp,None,"Feb 17, 2025","Feb 17, 2025","Feb 17, 2025",Hardcover,"Mar 03, 2009"
"New Moon
        (The Twilight Saga, #2)","Meyer, Stephenie",2,117995659,0316160199,"2,058,463",3.61,563pp,None,"Feb 14, 2025","Feb 17, 2025","Feb 14, 2025",Hardcover,"Sep 06, 2006"
"The Friend Zone
        (The Friend Zone, #1)","Jimenez, Abby*",2,117995659,,"343,103",3.90,372pp,None,"Feb 14, 2025not set","Feb 14, 2025not set","Feb 14, 2025",Kindle Edition,"Jun 11, 2019"
"Sarah
        (Canaan, #1)","Halter, Marek",Invalid rating,117995659,1400052785,"9,933",3.74,336pp,None,"Feb 06, 2025","Feb 07, 2025","Feb 06, 2025",Paperback,"Apr 26, 2005"
"The Gilded Ones
        (Deathless, #1)","Forna, Namina*",4,117995659,1984848704,"53,819",3.99,432pp,None,not set,Feb 2025,"Feb 05, 2025",Kindle Edition,"Feb 09, 2021"
Betting on You,"Painter, Lynn*",Invalid rating,117995659,1665921234,"124,109",4.12,432pp,None,not set,not set,"Dec 31, 2024",Hardcover,"Nov 28, 2023"
The Candle and the Flame,"Azad, Nafiza*",3,117995659,1338306057,"3,249",3.74,416pp,None,not set,not set,"Dec 31, 2024",Kindle Edition,"May 14, 2019"
The Prince and the Dressmaker,"Wang, Jen*",3,117995659,162672363X,"118,296",4.34,277pp,None,"Dec 17, 2024not set",Jan 2025not set,"Dec 17, 2024",Paperback,"Feb 13, 2018"
The Perks of Being a Wallflower,"Chbosky, Stephen",Invalid rating,117995659,,"1,926,693",4.23,213pp,None,"Dec 17, 2024","Dec 31, 2024","Dec 17, 2024",Hardcover,Feb 1999
Their Vicious Games,"Wellington, Joelle*",4,117995659,1665922427,"13,560",3.95,416pp,None,"Dec 17, 2024","Dec 20, 2024","Dec 17, 2024",Hardcover,"Jul 25, 2023"
The Silence of Bones,"Hur, June*",Invalid rating,117995659,1250229553,"6,902",3.82,326pp,None,not set,Jan 2024,"Dec 17, 2024",Hardcover,"Apr 21, 2020"
Where Sleeping Girls Lie,"Àbíké-Íyímídé, Faridah*",3,117995659,1250800846,"15,794",4.01,416pp,None,"Dec 20, 2024","Dec 24, 2024","Dec 17, 2024",Hardcover,"Mar 19, 2024"
These Fleeting Shadows,"Marshall, Kate Alice*",5,117995659,0593405110,"7,035",3.59,368pp,None,not set,Jan 2024,"Dec 17, 2024",Hardcover,"Aug 09, 2022"
"The Dressmaker
        (Dressmaker, #1)","Ham, Rosalie",2,117995659,1875989706,"19,334",3.43,296pp,None,"Dec 09, 2024","Dec 09, 2024","Dec 09, 2024",Paperback,2000
The Storyteller,"Picoult, Jodi*",4,117995659,1439102767,"259,266",4.30,461pp,None,"Dec 09, 2024","Dec 09, 2024","Dec 09, 2024",Hardcover,"Feb 26, 2013"
"Barbarian Lover
        (Ice Planet Barbarians, #3)","Dixon, Ruby*",2,117995659,0593548965,"71,839",3.83,336pp,None,"Nov 18, 2024","Nov 19, 2024","Nov 18, 2024",Paperback,"Jul 12, 2022"
"Barbarian Alien
        (Ice Planet Barbarians, #2)","Dixon, Ruby*",3,117995659,,"97,849",3.74,248pp,None,"Nov 18, 2024","Nov 18, 2024","Nov 18, 2024",Kindle Edition,"Jul 24, 2015"
"Ice Planet Barbarians
        (Ice Planet Barbarians, #1)","Dixon, Ruby*",4,117995659,,"180,449",3.63,188pp,None,"Nov 18, 2024","Nov 18, 2024","Nov 18, 2024",Kindle Edition,"Apr 03, 2015"
